Step,Value
0,0.7257443070411682
1,0.7589608430862427
2,0.7606837153434753
3,0.7620790600776672
4,0.7734465599060059
5,0.7693510055541992
6,0.771678626537323
7,0.770723819732666
8,0.7790077924728394
9,0.7720891833305359
10,0.7880794405937195
11,0.7803443670272827
12,0.7930607199668884
13,0.790658175945282
14,0.7905781269073486
15,0.798168957233429
16,0.7944397926330566
17,0.7973254919052124
18,0.8074324727058411
19,0.7986377477645874
20,0.812682569026947
21,0.7996582984924316
22,0.7922912240028381
23,0.8026812672615051
24,0.7967056632041931
25,0.7972449064254761
26,0.8079527020454407
27,0.8032230734825134
28,0.8049721717834473
29,0.8120689392089844
30,0.8138048648834229
31,0.8115578293800354
32,0.8024054765701294
33,0.8101910352706909
34,0.8166594505310059
35,0.8174501657485962
36,0.8153077960014343
37,0.8186440467834473
38,0.814091682434082
39,0.8201013803482056
40,0.8056145906448364
41,0.8155909776687622
42,0.8196994662284851
43,0.8263679146766663
44,0.8278757333755493
45,0.8222789168357849
46,0.8201013803482056
47,0.8312686085700989
48,0.820041835308075
49,0.8304940462112427
