Step,Value
0,0.6587692499160767
1,0.6336557865142822
2,0.6103810667991638
3,0.599912703037262
4,0.5848322510719299
5,0.5667181015014648
6,0.552259624004364
7,0.5416355729103088
8,0.5351182818412781
9,0.5299456119537354
10,0.5230485796928406
11,0.5212637186050415
12,0.5102725028991699
13,0.5126082301139832
14,0.5101397633552551
15,0.506039023399353
16,0.5144901275634766
17,0.5159833431243896
18,0.4965810477733612
19,0.4911081790924072
20,0.4984056055545807
21,0.5026649236679077
22,0.49924254417419434
23,0.48320189118385315
24,0.4827420711517334
25,0.49657678604125977
26,0.4964158236980438
27,0.4887375235557556
28,0.4902113080024719
29,0.49388349056243896
30,0.46626684069633484
31,0.4807092547416687
32,0.4872802197933197
33,0.4773731529712677
34,0.4714144170284271
35,0.46655523777008057
36,0.4687469005584717
37,0.46847355365753174
38,0.46373680233955383
39,0.45194363594055176
40,0.4669727087020874
41,0.476293683052063
42,0.4680783748626709
43,0.458206444978714
44,0.47452646493911743
45,0.4521356523036957
46,0.46315130591392517
47,0.45660871267318726
48,0.4550682306289673
49,0.4526723623275757
