Step,Value
0,0.6288071274757385
1,0.6069334745407104
2,0.5949898362159729
3,0.5839798450469971
4,0.5734023451805115
5,0.5631566643714905
6,0.5537142753601074
7,0.5452963709831238
8,0.537022054195404
9,0.5293591618537903
10,0.5222253799438477
11,0.5157564282417297
12,0.5097296833992004
13,0.5042582750320435
14,0.4989810585975647
15,0.49488958716392517
16,0.490835964679718
17,0.4867200553417206
18,0.48316484689712524
19,0.47986191511154175
20,0.4761717915534973
21,0.4731930196285248
22,0.47049301862716675
23,0.46824318170547485
24,0.46621301770210266
25,0.46440941095352173
26,0.46259528398513794
27,0.46116700768470764
28,0.46001753211021423
29,0.4588521420955658
30,0.45775261521339417
31,0.45660844445228577
32,0.45555996894836426
33,0.45453834533691406
34,0.45423221588134766
35,0.4528234004974365
36,0.4522910416126251
37,0.4517659544944763
38,0.4512268304824829
39,0.45015183091163635
40,0.44978275895118713
41,0.44892337918281555
42,0.448256254196167
43,0.4479314982891083
44,0.44723010063171387
45,0.44699257612228394
46,0.4462030529975891
47,0.4456758499145508
48,0.44520917534828186
49,0.44480547308921814
