Step,Value
0,0.7050020098686218
1,0.7525691390037537
2,0.7603440284729004
3,0.7469487190246582
4,0.767602801322937
5,0.7763950228691101
6,0.7780910134315491
7,0.7801069021224976
8,0.7902560234069824
9,0.7749263644218445
10,0.7776838541030884
11,0.7961246967315674
12,0.794356644153595
13,0.7999999523162842
14,0.7926777601242065
15,0.7959269881248474
16,0.8027095198631287
17,0.7974575757980347
18,0.8016914129257202
19,0.8053804039955139
20,0.8106483817100525
21,0.8022118210792542
22,0.8079695105552673
23,0.8133445382118225
24,0.8264743685722351
25,0.8202726244926453
26,0.8169375658035278
27,0.8262711763381958
28,0.8287056684494019
29,0.8256959915161133
30,0.8272921442985535
31,0.8314799070358276
32,0.8325561285018921
33,0.8395585417747498
34,0.8422402143478394
35,0.8399311304092407
36,0.8427402377128601
37,0.843187689781189
38,0.8334778547286987
39,0.8379790782928467
40,0.848007082939148
41,0.8428884148597717
42,0.8448728919029236
43,0.8458532691001892
44,0.8510274291038513
45,0.845458447933197
46,0.850953221321106
47,0.8490808606147766
48,0.8451308012008667
49,0.8480137586593628
