Step,Value
0,0.7312368750572205
1,0.7916171550750732
2,0.7946210503578186
3,0.8018091917037964
4,0.804797351360321
5,0.8110367655754089
6,0.8117400407791138
7,0.8171500563621521
8,0.8207070231437683
9,0.819063663482666
10,0.8194093704223633
11,0.8187578916549683
12,0.8186046481132507
13,0.8214889764785767
14,0.8210970759391785
15,0.8223823308944702
16,0.8252222537994385
17,0.823429524898529
18,0.8265305757522583
19,0.8280254602432251
20,0.8315654993057251
21,0.8309919238090515
22,0.8319863677024841
23,0.8329071402549744
24,0.833970308303833
25,0.8317000865936279
26,0.831135630607605
27,0.8303495645523071
28,0.8332622647285461
29,0.8306382894515991
30,0.8332622647285461
31,0.8330493569374084
32,0.8336178064346313
33,0.8363946676254272
34,0.835324227809906
35,0.835616409778595
36,0.8392627835273743
37,0.8385438919067383
38,0.8422402143478394
39,0.8406169414520264
40,0.8390119075775146
41,0.8415629267692566
42,0.841609537601471
43,0.8419699668884277
44,0.8445395231246948
45,0.841834545135498
46,0.8419243693351746
47,0.8411135673522949
48,0.8424215912818909
49,0.843414843082428
