Step,Value
0,0.7420311570167542
1,0.7667754888534546
2,0.7641044855117798
3,0.7797271013259888
4,0.775254487991333
5,0.7750784158706665
6,0.7771652936935425
7,0.7663476467132568
8,0.7819848656654358
9,0.7890880107879639
10,0.7917695641517639
11,0.7835479974746704
12,0.8045883178710938
13,0.7922506332397461
14,0.7941415905952454
15,0.7995049953460693
16,0.7959184050559998
17,0.8064777255058289
18,0.7986716032028198
19,0.8014736175537109
20,0.8019401431083679
21,0.7944862246513367
22,0.8021478056907654
23,0.8093322515487671
24,0.7991984486579895
25,0.7999999523162842
26,0.8050264120101929
27,0.8163096904754639
28,0.8129405975341797
29,0.8178807497024536
30,0.8146638870239258
31,0.8123993873596191
32,0.8160129189491272
33,0.8189300894737244
34,0.8192275762557983
35,0.8136271834373474
36,0.8238173127174377
37,0.8286066651344299
38,0.8261405825614929
39,0.8249694108963013
40,0.8238192796707153
41,0.8268434405326843
42,0.8280673027038574
43,0.8363032937049866
44,0.835996687412262
45,0.8378825783729553
46,0.8351648449897766
47,0.846697211265564
48,0.8434925675392151
49,0.8386298418045044
