Step,Value
0,0.7397924065589905
1,0.7557699084281921
2,0.7551686763763428
3,0.7556977868080139
4,0.7735220789909363
5,0.7819485068321228
6,0.7808798551559448
7,0.7847133278846741
8,0.7889361381530762
9,0.7887689471244812
10,0.7859618663787842
11,0.7993065118789673
12,0.7878787517547607
13,0.80594402551651
14,0.8095659613609314
15,0.8172323703765869
16,0.8172323703765869
17,0.8222512006759644
18,0.8227683901786804
19,0.8247422575950623
20,0.8267683386802673
21,0.843087375164032
22,0.8436426520347595
23,0.8436018824577332
24,0.8422877788543701
25,0.8433530926704407
26,0.850233256816864
27,0.8544358015060425
28,0.8653683066368103
29,0.862728476524353
30,0.8662639856338501
31,0.8689299821853638
32,0.8739424347877502
33,0.8710359334945679
34,0.877734899520874
35,0.8723678588867188
36,0.87794429063797
37,0.8792808651924133
38,0.8873778581619263
39,0.8843188285827637
40,0.8872882127761841
41,0.8786718249320984
42,0.8885106444358826
43,0.8865277767181396
44,0.8940480351448059
45,0.892190158367157
46,0.8967297673225403
47,0.9012027382850647
48,0.8985757231712341
49,0.8961981534957886
