Step,Value
0,0.6062533259391785
1,0.6565977931022644
2,0.682034969329834
3,0.6926338076591492
4,0.6926338076591492
5,0.7148913741111755
6,0.7212506532669067
7,0.7387387156486511
8,0.7254902124404907
9,0.7429782748222351
10,0.7429782748222351
11,0.7334393262863159
12,0.7503974437713623
13,0.7625861167907715
14,0.7562268376350403
15,0.7413884401321411
16,0.7493375539779663
17,0.7588765025138855
18,0.7546370029449463
19,0.7678855061531067
20,0.7588765025138855
21,0.7747747898101807
22,0.7588765025138855
23,0.7641759514808655
24,0.7641759514808655
25,0.7594064474105835
26,0.7625861167907715
27,0.7684154510498047
28,0.7747747898101807
29,0.7700052857398987
30,0.7742448449134827
31,0.7678855061531067
32,0.7790142893791199
33,0.7768945693969727
34,0.7647058963775635
35,0.7700052857398987
36,0.7779543995857239
37,0.7811340689659119
38,0.7700052857398987
39,0.7795442342758179
40,0.7758346796035767
41,0.7806041240692139
42,0.7848436832427979
43,0.794382631778717
44,0.7721250653266907
45,0.7864335179328918
46,0.7874933481216431
47,0.7816640138626099
48,0.7901430726051331
49,0.792262852191925
