Step,Value
0,0.634870171546936
1,0.686274528503418
2,0.6942236423492432
3,0.7021727561950684
4,0.7058823704719543
5,0.7196608185768127
6,0.7413884401321411
7,0.7472178339958191
8,0.7435082197189331
9,0.7594064474105835
10,0.7583465576171875
11,0.7668256759643555
12,0.7578166127204895
13,0.7694753408432007
14,0.7657657861709595
15,0.7753047347068787
16,0.7742448449134827
17,0.7721250653266907
18,0.7652358412742615
19,0.7742448449134827
20,0.7726550102233887
21,0.7832538485527039
22,0.7737149000167847
23,0.791732907295227
24,0.794382631778717
25,0.7859035730361938
26,0.7848436832427979
27,0.7848436832427979
28,0.790673017501831
29,0.792792797088623
30,0.791202962398529
31,0.7970322966575623
32,0.7874933481216431
33,0.795972466468811
34,0.7816640138626099
35,0.796502411365509
36,0.8055114150047302
37,0.8044515252113342
38,0.794912576675415
39,0.8097509145736694
40,0.7975622415542603
41,0.8129305839538574
42,0.8177000284194946
43,0.7991520762443542
44,0.8023317456245422
45,0.8145204186439514
46,0.8161102533340454
47,0.8240593671798706
48,0.8171700835227966
49,0.8166401982307434
