Step,Value
0,0.6298340559005737
1,0.6021636128425598
2,0.5816397070884705
3,0.5660211443901062
4,0.5544952154159546
5,0.5437329411506653
6,0.5331451892852783
7,0.5240218043327332
8,0.5157772898674011
9,0.5075473189353943
10,0.5010717511177063
11,0.49318644404411316
12,0.48635342717170715
13,0.4809456169605255
14,0.4748915433883667
15,0.4681997001171112
16,0.4628402888774872
17,0.4562385082244873
18,0.453717440366745
19,0.448687344789505
20,0.4453212022781372
21,0.442378968000412
22,0.43931108713150024
23,0.44065213203430176
24,0.43258923292160034
25,0.42803308367729187
26,0.42474812269210815
27,0.42154306173324585
28,0.418308287858963
29,0.4171956777572632
30,0.41565194725990295
31,0.41122230887413025
32,0.40888306498527527
33,0.40751558542251587
34,0.40216484665870667
35,0.40128546953201294
36,0.40230879187583923
37,0.39485591650009155
38,0.39610713720321655
39,0.39270687103271484
40,0.39174917340278625
41,0.3904550075531006
42,0.38850438594818115
43,0.3861144483089447
44,0.38490837812423706
45,0.38393840193748474
46,0.3817502558231354
47,0.3807423412799835
48,0.3797609508037567
49,0.3778523802757263
