Step,Value
0,0.6952835321426392
1,0.7175410985946655
2,0.7191308736801147
3,0.7355591058731079
4,0.7440381646156311
5,0.7302596569061279
6,0.7488076090812683
7,0.7445681095123291
8,0.7477477192878723
9,0.7583465576171875
10,0.7567567825317383
11,0.7445681095123291
12,0.7530471682548523
13,0.7726550102233887
14,0.7668256759643555
15,0.7604663372039795
16,0.7763646245002747
17,0.7726550102233887
18,0.7806041240692139
19,0.7710651755332947
20,0.7705352306365967
21,0.7864335179328918
22,0.7790142893791199
23,0.7795442342758179
24,0.7747747898101807
25,0.7673555612564087
26,0.7890831828117371
27,0.7779543995857239
28,0.7859035730361938
29,0.792262852191925
30,0.794912576675415
31,0.7986221313476562
32,0.7811340689659119
33,0.7864335179328918
34,0.7890831828117371
35,0.795442521572113
36,0.7885532379150391
37,0.793322741985321
38,0.8081610798835754
39,0.8065713047981262
40,0.8203497529029846
41,0.8092209696769714
42,0.8256492018699646
43,0.8229994773864746
44,0.8282988667488098
45,0.8060413599014282
46,0.8261791467666626
47,0.8219395875930786
48,0.8298887014389038
49,0.8341282606124878
