Step,Value
0,0.5297081470489502
1,0.48226651549339294
2,0.46076586842536926
3,0.4514528512954712
4,0.42987167835235596
5,0.41104039549827576
6,0.40663936734199524
7,0.38518500328063965
8,0.3764691650867462
9,0.3720209002494812
10,0.3633860945701599
11,0.3619716763496399
12,0.34613409638404846
13,0.33921533823013306
14,0.33083975315093994
15,0.31852686405181885
16,0.3129475712776184
17,0.30639106035232544
18,0.30157363414764404
19,0.29343923926353455
20,0.27863261103630066
21,0.27577415108680725
22,0.26077261567115784
23,0.25318339467048645
24,0.2506982684135437
25,0.23922866582870483
26,0.23852844536304474
27,0.22957195341587067
28,0.22807401418685913
29,0.23089422285556793
30,0.22235220670700073
31,0.20695416629314423
32,0.20257116854190826
33,0.1839686632156372
34,0.18356797099113464
35,0.17160049080848694
36,0.160811185836792
37,0.15058085322380066
38,0.16478687524795532
39,0.16225974261760712
40,0.1421470195055008
41,0.12435410171747208
42,0.10940098762512207
43,0.10538189858198166
44,0.11048991978168488
45,0.09013982117176056
46,0.08837747573852539
47,0.08606801927089691
48,0.06826157122850418
49,0.06819295138120651
