Step,Value
0,0.6143782734870911
1,0.5581211447715759
2,0.5429763793945312
3,0.5286645889282227
4,0.5263041853904724
5,0.5225062370300293
6,0.5129439234733582
7,0.48411187529563904
8,0.4920945465564728
9,0.4872152805328369
10,0.48328766226768494
11,0.4682715833187103
12,0.4711568355560303
13,0.46268150210380554
14,0.4677329659461975
15,0.4615772068500519
16,0.46200594305992126
17,0.45912790298461914
18,0.45052778720855713
19,0.45503202080726624
20,0.43663930892944336
21,0.4347904920578003
22,0.4302423298358917
23,0.4185367226600647
24,0.4196390211582184
25,0.4199216067790985
26,0.41855403780937195
27,0.40952539443969727
28,0.4137314558029175
29,0.39429163932800293
30,0.4008229672908783
31,0.40148812532424927
32,0.3912796378135681
33,0.395631343126297
34,0.39023271203041077
35,0.3905744254589081
36,0.3830038905143738
37,0.38703492283821106
38,0.3853468894958496
39,0.3731461763381958
40,0.37870240211486816
41,0.37897399067878723
42,0.38333556056022644
43,0.3794936239719391
44,0.37143486738204956
45,0.37899497151374817
46,0.3841243386268616
47,0.3562268018722534
48,0.36412784457206726
49,0.37108051776885986
