Step,Value
0,0.7051671147346497
1,0.7698019742965698
2,0.7851239442825317
3,0.7883986830711365
4,0.7910261750221252
5,0.7942028641700745
6,0.7990115284919739
7,0.7976539731025696
8,0.7911629676818848
9,0.7925155758857727
10,0.7861030101776123
11,0.8020133972167969
12,0.8024948239326477
13,0.803668200969696
14,0.8026924133300781
15,0.8084752559661865
16,0.8055908679962158
17,0.8100000023841858
18,0.8139534592628479
19,0.8122637271881104
20,0.8092049956321716
21,0.8102947473526001
22,0.809166669845581
23,0.8068562150001526
24,0.8110137581825256
25,0.8132328391075134
26,0.8015106916427612
27,0.8171238303184509
28,0.8095238208770752
29,0.8148148655891418
30,0.8159999251365662
31,0.8139534592628479
32,0.8121363520622253
33,0.8179202079772949
34,0.8171238303184509
35,0.8125523924827576
36,0.8203418254852295
37,0.8126298189163208
38,0.8210263252258301
39,0.8200000524520874
40,0.8184874057769775
41,0.8161209225654602
42,0.8230834007263184
43,0.8109936118125916
44,0.818936824798584
45,0.8205342292785645
46,0.8232831358909607
47,0.8248023390769958
48,0.8271499872207642
49,0.8089701533317566
