Step,Value
0,0.6295410394668579
1,0.5604922771453857
2,0.5562607645988464
3,0.5523768067359924
4,0.5354729890823364
5,0.5341623425483704
6,0.5364346504211426
7,0.5232903957366943
8,0.5235050320625305
9,0.5129756927490234
10,0.506408154964447
11,0.48944032192230225
12,0.4971657693386078
13,0.4963842034339905
14,0.49246883392333984
15,0.4744824171066284
16,0.4758331775665283
17,0.467864066362381
18,0.4643452763557434
19,0.46778231859207153
20,0.469745010137558
21,0.45741796493530273
22,0.45698392391204834
23,0.4533824622631073
24,0.44898897409439087
25,0.4405476152896881
26,0.44171133637428284
27,0.42242974042892456
28,0.43829283118247986
29,0.43695157766342163
30,0.4348350167274475
31,0.42876872420310974
32,0.4194047749042511
33,0.41383281350135803
34,0.4159562587738037
35,0.4199027717113495
36,0.404803067445755
37,0.39048582315444946
38,0.38623225688934326
39,0.39616626501083374
40,0.3923177421092987
41,0.3820296823978424
42,0.38554438948631287
43,0.3725575804710388
44,0.38281697034835815
45,0.37563198804855347
46,0.3552299439907074
47,0.3735516667366028
48,0.3560495972633362
49,0.35629135370254517
