Step,Value
0,0.6123756766319275
1,0.5633299946784973
2,0.5501989126205444
3,0.5367070436477661
4,0.5232811570167542
5,0.5176498293876648
6,0.5222080945968628
7,0.5110376477241516
8,0.504615843296051
9,0.4897877275943756
10,0.49376583099365234
11,0.4971885681152344
12,0.4815133810043335
13,0.47177982330322266
14,0.4699956476688385
15,0.4643440842628479
16,0.47063446044921875
17,0.4254347085952759
18,0.4312193989753723
19,0.4204257130622864
20,0.4171598553657532
21,0.419785737991333
22,0.4204480051994324
23,0.3929307758808136
24,0.411978155374527
25,0.41620221734046936
26,0.40238630771636963
27,0.39687517285346985
28,0.3841174244880676
29,0.3962984085083008
30,0.3837917447090149
31,0.39106109738349915
32,0.38649994134902954
33,0.3763398826122284
34,0.37523049116134644
35,0.35637351870536804
36,0.35842186212539673
37,0.36044228076934814
38,0.3649756908416748
39,0.35164669156074524
40,0.3460913300514221
41,0.3266993463039398
42,0.3482646942138672
43,0.3291656970977783
44,0.32164356112480164
45,0.3303520977497101
46,0.34284403920173645
47,0.308746874332428
48,0.3032776713371277
49,0.29944875836372375
