Step,Value
0,0.6518282890319824
1,0.6968733668327332
2,0.7143614292144775
3,0.7180709838867188
4,0.7223105430603027
5,0.7143614292144775
6,0.7101218700408936
7,0.7297297120094299
8,0.7318494915962219
9,0.7429782748222351
10,0.7445681095123291
11,0.7530471682548523
12,0.7413884401321411
13,0.7556968927383423
14,0.7758346796035767
15,0.7843137383460999
16,0.7848436832427979
17,0.7980921864509583
18,0.794912576675415
19,0.7790142893791199
20,0.8097509145736694
21,0.8129305839538574
22,0.8129305839538574
23,0.8108108043670654
24,0.8018018007278442
25,0.8235294222831726
26,0.8214096426963806
27,0.8341282606124878
28,0.8203497529029846
29,0.8351881504058838
30,0.8282988667488098
31,0.839957594871521
32,0.8282988667488098
33,0.8288288116455078
34,0.843137264251709
35,0.837307870388031
36,0.844197154045105
37,0.843667209148407
38,0.844727098941803
39,0.8563858270645142
40,0.8547959923744202
41,0.8510863780975342
42,0.8563858270645142
43,0.8653948307037354
44,0.8632750511169434
45,0.8691043853759766
46,0.8595654368400574
47,0.8622151613235474
48,0.8653948307037354
49,0.8733439445495605
