Step,Value
0,0.6477731466293335
1,0.62648606300354
2,0.6210001707077026
3,0.6072688698768616
4,0.6011960506439209
5,0.5974857807159424
6,0.5944437980651855
7,0.5877866148948669
8,0.5737324357032776
9,0.5734668374061584
10,0.5711427330970764
11,0.5589594841003418
12,0.5640617609024048
13,0.5478066802024841
14,0.5481594800949097
15,0.5485316514968872
16,0.540838360786438
17,0.5335551500320435
18,0.5354741811752319
19,0.5331894755363464
20,0.5191279649734497
21,0.527590274810791
22,0.5295485258102417
23,0.5314711928367615
24,0.5200133323669434
25,0.5130607485771179
26,0.5231295824050903
27,0.5231912732124329
28,0.5084709525108337
29,0.5160791277885437
30,0.5207491517066956
31,0.5071746706962585
32,0.5182952284812927
33,0.5165268182754517
34,0.5066611170768738
35,0.5008038878440857
36,0.5016983151435852
37,0.510258138179779
38,0.513480544090271
39,0.5054032802581787
40,0.5066227316856384
41,0.5066913962364197
42,0.49674609303474426
43,0.49958524107933044
44,0.4973614513874054
45,0.5069097280502319
46,0.5056632161140442
47,0.4999223053455353
48,0.4968971908092499
49,0.5025410652160645
